tweet_id,text,created_at,country,country_code,latitude,longitude,is_mock
mock_1,My local roaster sources direct-trade beans from Ethiopia. Great taste AND ethics <f0><9f><91><8c>,2024-02-12 22:53:12.257345,Portugal,PT,39.52331257545101,-9.821659597403897,TRUE
mock_2,Swedish coffee culture + sustainability = a natural fit <f0><9f><87><b8><f0><9f><87><aa> #fika #sustainablecoffee,2024-10-29 02:34:41.708919,Poland,PL,52.931819894175696,20.83702063610414,TRUE
mock_3,Carbon neutral coffee <e2><80><94> is this actually achievable? Interesting article on supply chains,2024-05-06 01:19:27.981058,Germany,DE,52.49803498665635,12.215272658095389,TRUE
mock_4,Really impressed with how many European cafes are switching to #fairtrade coffee,2024-08-06 05:00:50.191715,Ireland,IE,53.40880764193098,-5.201689982458079,TRUE
mock_5,The CO2 footprint of my morning espresso is something I try not to think about too much,2024-04-15 05:31:30.525587,Netherlands,NL,51.8238771640455,3.945928580301423,TRUE
mock_6,Rainforest Alliance vs Fair Trade <e2><80><94> which certification do you trust more? #coffee,2024-06-16 06:51:24.947238,Italy,IT,41.74150053595903,12.908557534418993,TRUE
mock_7,Does your office serve fair trade coffee? Mine doesn't and it bothers me every morning,2024-07-12 00:43:22.802861,Sweden,SE,58.47663295516138,19.1445157844163,TRUE
mock_8,Does your office serve fair trade coffee? Mine doesn't and it bothers me every morning,2024-07-05 13:00:26.089384,United Kingdom,GB,50.726435283317905,-1.5185932062956553,TRUE
mock_9,Love that @coffeeshop switched to biodegradable cups! Small steps matter <e2><99><bb><ef><b8><8f><e2><98><95>,2024-09-27 00:46:58.975154,Netherlands,NL,51.42334952886472,6.127472770881951,TRUE
mock_10,Not sure if 'eco coffee' labels actually mean anything anymore... #greenwashing?,2024-03-07 11:27:41.352921,Sweden,SE,59.96896616315587,15.569878508508001,TRUE
mock_11,The CO2 footprint of my morning espresso is something I try not to think about too much,2024-07-25 07:58:05.594136,Italy,IT,42.79197743879632,12.775715165239191,TRUE
mock_12,Really impressed with how many European cafes are switching to #fairtrade coffee,2024-12-27 13:58:42.50504,Sweden,SE,58.969644117658326,19.914052949864512,TRUE
mock_13,Just tried a new #sustainable coffee brand <e2><80><94> the packaging is compostable! <e2><98><95><f0><9f><8c><bf>,2024-09-28 19:58:27.096474,Poland,PL,51.29681808159454,21.66652558698081,TRUE
mock_14,Just tried a new #sustainable coffee brand <e2><80><94> the packaging is compostable! <e2><98><95><f0><9f><8c><bf>,2024-10-15 14:19:24.483679,Germany,DE,52.42965493457836,14.497854561499247,TRUE
mock_15,The CO2 footprint of my morning espresso is something I try not to think about too much,2024-03-21 01:25:47.32372,Italy,IT,43.6935229546501,11.83592405086458,TRUE
mock_16,My local roaster sources direct-trade beans from Ethiopia. Great taste AND ethics <f0><9f><91><8c>,2024-10-12 23:38:42.722257,Poland,PL,53.833050536600396,21.35805130741202,TRUE
mock_17,Just tried a new #sustainable coffee brand <e2><80><94> the packaging is compostable! <e2><98><95><f0><9f><8c><bf>,2024-03-07 08:27:16.661484,Finland,FI,58.82415973062284,26.32765544758257,TRUE
mock_18,Just tried a new #sustainable coffee brand <e2><80><94> the packaging is compostable! <e2><98><95><f0><9f><8c><bf>,2024-07-26 04:04:12.784594,United Kingdom,GB,51.21447467510209,-1.6949795017989011,TRUE
